Item,Location,Series ID
Financial services,Melbourne,A3603898K
Deposit and loan facilities (direct charges),Melbourne,A3603858T
Other financial services,Melbourne,A2332741R
All groups CPI,Melbourne,A2325811C
Tradables,Melbourne,A2330491X
Non-tradables,Melbourne,A2330536T
"All groups, goods component",Melbourne,A2330581C
"All groups, services component",Melbourne,A2330671J
All groups CPI including deposit and loan facilities (indirect charges),Melbourne,A3604323R
All groups CPI excluding Food and non-alcoholic beverages,Melbourne,A2332066W
All groups CPI excluding Alcohol and tobacco,Melbourne,A2332111W
All groups CPI excluding Clothing and footwear,Melbourne,A2332156A
All groups CPI excluding Housing,Melbourne,A2332201A
"All groups CPI excluding Furnishings, household equipment and services",Melbourne,A2332246F
All groups CPI excluding Health,Melbourne,A2332291T
All groups CPI excluding Transport,Melbourne,A2332336K
All groups CPI excluding Communication,Melbourne,A2332381W
All groups CPI excluding Recreation and culture,Melbourne,A2332426R
All groups CPI excluding Education,Melbourne,A2332471A
All groups CPI excluding Insurance and financial services,Melbourne,A2332606X
All groups CPI excluding Housing and Insurance and financial services,Melbourne,A2332651K
All groups CPI excluding Medical and hospital services,Melbourne,A2332516V
All groups CPI excluding food and energy,Melbourne,A3604283J
All groups CPI excluding 'volatile items',Melbourne,A2330806F
Food and non-alcoholic beverages,Brisbane,A2325861A
Bread and cereal products,Brisbane,A2326176W
Bread,Brisbane,A2327031A
Cakes and biscuits,Brisbane,A2327076F
Breakfast cereals,Brisbane,A2327121F
Other cereal products,Brisbane,A2327166K
Meat and seafoods,Brisbane,A2326221W
Beef and veal,Brisbane,A2327211K
Pork,Brisbane,A3603913W
Lamb and goat,Brisbane,A2327256R
Poultry,Brisbane,A2327346V
Other meats,Brisbane,A2327436X
Fish and other seafood,Brisbane,A2327481K
Dairy and related products,Brisbane,A2326131T
Milk,Brisbane,A2326896V
Cheese,Brisbane,A2326941V
Ice cream and other dairy products,Brisbane,A2326986X
Fruit and vegetables,Brisbane,A2330856C
Fruit,Brisbane,A2330901C
Vegetables,Brisbane,A2330946J
Food products n.e.c.,Brisbane,A3603953R
Eggs,Brisbane,A2327616J
"Jams, honey and spreads",Brisbane,A2327661V
Food additives and condiments,Brisbane,A2329461L
Oils and fats,Brisbane,A2329506F
Snacks and confectionery,Brisbane,A2331711J
Other food products n.e.c.,Brisbane,A2327751X
Non-alcoholic beverages,Brisbane,A3603993J
"Coffee, tea and cocoa",Brisbane,A2327706L
"Waters, soft drinks and juices",Brisbane,A2331756L
Meals out and take away foods,Brisbane,A2326266A
Restaurant meals,Brisbane,A2327526C
Take away and fast foods,Brisbane,A2327571R
Alcohol and tobacco,Brisbane,A2326086T
Alcoholic beverages,Brisbane,A2326716X
Spirits,Brisbane,A2328921W
Wine,Brisbane,A2328876W
Beer,Brisbane,A2328831T
Tobacco,Brisbane,A2326761K
Tobacco,Brisbane,A2328966A
Clothing and footwear,Brisbane,A2325906V
Garments,Brisbane,A3604033T
Garments for men,Brisbane,A2329551T
Garments for women,Brisbane,A2329686A
Garments for infants and children,Brisbane,A2329731A
Footwear,Brisbane,A2326356F
Footwear for men,Brisbane,A2327886J
Footwear for women,Brisbane,A2327931J
Footwear for infants and children,Brisbane,A2327976L
Accessories and clothing services,Brisbane,A2329776F
Accessories,Brisbane,A2329821F
"Cleaning, repair and hire of clothing and footwear",Brisbane,A2328021R
Housing,Brisbane,A2325951F
Rents,Brisbane,A2331846T
Rents,Brisbane,A2326401F
New dwelling purchase by owner-occupiers,Brisbane,A3604233K
New dwelling purchase by owner-occupiers,Brisbane,A2329911K
Other housing,Brisbane,A3603583T
Maintenance and repair of the dwelling,Brisbane,A2328066V
Property rates and charges,Brisbane,A2329956R
Utilities,Brisbane,A2326491W
Water and sewerage,Brisbane,A2329866K
Electricity,Brisbane,A2328111V
Gas and other household fuels,Brisbane,A2331891C
"Furnishings, household equipment and services",Brisbane,A2325996K
Furniture and furnishings,Brisbane,A3604153K
Furniture,Brisbane,A2328156X
Carpets and other floor coverings,Brisbane,A3604193C
Household textiles,Brisbane,A3604073K
Household textiles,Brisbane,A3604113T
"Household appliances, utensils and tools",Brisbane,A2330001W
Major household appliances,Brisbane,A2328246C
Small electric household appliances,Brisbane,A2330991V
"Glassware, tableware and household utensils",Brisbane,A2331036R
Tools and equipment for house and garden,Brisbane,A2328291R
Non-durable household products,Brisbane,A2330046A
Cleaning and maintenance products,Brisbane,A2328336J
Personal care products,Brisbane,A2329191X
Other non-durable household products,Brisbane,A2330091L
Domestic and household services,Brisbane,A2330136F
Child care,Brisbane,A2331576C
Hairdressing and personal grooming services,Brisbane,A2329236T
Other household services,Brisbane,A2331666J
Health,Brisbane,A2331081A
"Medical products, appliances and equipment",Brisbane,A3603623X
Pharmaceutical products,Brisbane,A2329146L
Therapeutic appliances and equipment,Brisbane,A2329056J
"Medical, dental and hospital services",Brisbane,A3603663T
Medical and hospital services,Brisbane,A2329011C
Dental services,Brisbane,A2329101J
Transport,Brisbane,A2326041L
Private motoring,Brisbane,A2326626V
Motor vehicles,Brisbane,A2328561C
Spare parts and accessories for motor vehicles,Brisbane,A2328696L
Automotive fuel,Brisbane,A2328606W
Maintenance and repair of motor vehicles,Brisbane,A2328741L
Other services in respect of motor vehicles,Brisbane,A2328651J
Urban transport fares,Brisbane,A2326671F
Urban transport fares,Brisbane,A2328786T
Communication,Brisbane,A2331171F
Communication,Brisbane,A2326581A
Postal services,Brisbane,A2328471X
Telecommunication equipment and services,Brisbane,A2328516T
Recreation and culture,Brisbane,A2331216X
"Audio, visual and computing equipment and services",Brisbane,A3603823T
"Audio, visual and computing equipment",Brisbane,A2329281C
"Audio, visual and computing media and services",Brisbane,A3603703X
"Newspapers, books and stationery",Brisbane,A3603743T
Books,Brisbane,A2330181T
"Newspapers, magazines and stationery",Brisbane,A3603783K
Holiday travel and accommodation,Brisbane,A2326851R
Domestic holiday travel and accommodation,Brisbane,A2329326W
International holiday travel and accommodation,Brisbane,A2329371J
"Other recreation, sport and culture",Brisbane,A2331351R
"Equipment for sports, camping and open-air recreation",Brisbane,A2330316R
"Games, toys and hobbies",Brisbane,A2330361A
Pets and related products,Brisbane,A2328426L
Veterinary and other services for pets,Brisbane,A2328381V
Sports participation,Brisbane,A2330406V
"Other recreational, sporting and cultural services",Brisbane,A2330451F
Education,Brisbane,A2331396V
Education,Brisbane,A2329416A
Preschool and primary education,Brisbane,A2331441V
Secondary education,Brisbane,A2331486X
Tertiary education,Brisbane,A2331531X
Insurance and financial services,Brisbane,A2332566T
Insurance,Brisbane,A3602803R
Insurance,Brisbane,A3602848V
Financial services,Brisbane,A3604248A
Deposit and loan facilities (direct charges),Brisbane,A3603863K
Other financial services,Brisbane,A2332746A
All groups CPI,Brisbane,A2325816R
Tradables,Brisbane,A2330496K
Non-tradables,Brisbane,A2330541K
"All groups, goods component",Brisbane,A2330586R
"All groups, services component",Brisbane,A2330676V
All groups CPI including deposit and loan facilities (indirect charges),Brisbane,A3604328A
All groups CPI excluding Food and non-alcoholic beverages,Brisbane,A2332071R
All groups CPI excluding Alcohol and tobacco,Brisbane,A2332116J
All groups CPI excluding Clothing and footwear,Brisbane,A2332161V
All groups CPI excluding Housing,Brisbane,A2332206L
"All groups CPI excluding Furnishings, household equipment and services",Brisbane,A2332251X
All groups CPI excluding Health,Brisbane,A2332296C
All groups CPI excluding Transport,Brisbane,A2332341C
All groups CPI excluding Communication,Brisbane,A2332386J
All groups CPI excluding Recreation and culture,Brisbane,A2332431J
All groups CPI excluding Education,Brisbane,A2332476L
All groups CPI excluding Insurance and financial services,Brisbane,A2332611T
All groups CPI excluding Housing and Insurance and financial services,Brisbane,A2332656W
All groups CPI excluding Medical and hospital services,Brisbane,A2332521L
All groups CPI excluding food and energy,Brisbane,A3604288V
All groups CPI excluding 'volatile items',Brisbane,A2330811X
Food and non-alcoholic beverages,Adelaide,A2325866L
Bread and cereal products,Adelaide,A2326181R
Bread,Adelaide,A2327036L
Cakes and biscuits,Adelaide,A2327081X
Breakfast cereals,Adelaide,A2327126T
Other cereal products,Adelaide,A2327171C
Meat and seafoods,Adelaide,A2326226J
Beef and veal,Adelaide,A2327216W
Pork,Adelaide,A3603918J
Lamb and goat,Adelaide,A2327261J
Poultry,Adelaide,A2327351L
Other meats,Adelaide,A2327441T
Fish and other seafood,Adelaide,A2327486W
Dairy and related products,Adelaide,A2326136C
Milk,Adelaide,A2326901A
Cheese,Adelaide,A2326946F
Ice cream and other dairy products,Adelaide,A2326991T
Fruit and vegetables,Adelaide,A2330861W
Fruit,Adelaide,A2330906R
Vegetables,Adelaide,A2330951A
Food products n.e.c.,Adelaide,A3603958A
Eggs,Adelaide,A2327621A
"Jams, honey and spreads",Adelaide,A2327666F
Food additives and condiments,Adelaide,A2329466X
Oils and fats,Adelaide,A2329511X
Snacks and confectionery,Adelaide,A2331716V
Other food products n.e.c.,Adelaide,A2327756K
Non-alcoholic beverages,Adelaide,A3603998V
"Coffee, tea and cocoa",Adelaide,A2327711F
"Waters, soft drinks and juices",Adelaide,A2331761F
Meals out and take away foods,Adelaide,A2326271V
Restaurant meals,Adelaide,A2327531W
Take away and fast foods,Adelaide,A2327576A
Alcohol and tobacco,Adelaide,A2326091K
Alcoholic beverages,Adelaide,A2326721T
Spirits,Adelaide,A2328926J
Wine,Adelaide,A2328881R
Beer,Adelaide,A2328836C
Tobacco,Adelaide,A2326766W
Tobacco,Adelaide,A2328971V
Clothing and footwear,Adelaide,A2325911L
Garments,Adelaide,A3604038C
Garments for men,Adelaide,A2329556C
Garments for women,Adelaide,A2329691V
Garments for infants and children,Adelaide,A2329736L
Footwear,Adelaide,A2326361X
Footwear for men,Adelaide,A2327891A
Footwear for women,Adelaide,A2327936V
Footwear for infants and children,Adelaide,A2327981F
Accessories and clothing services,Adelaide,A2329781X
Accessories,Adelaide,A2329826T
"Cleaning, repair and hire of clothing and footwear",Adelaide,A2328026A
Housing,Adelaide,A2325956T
Rents,Adelaide,A2331851K
Rents,Adelaide,A2326406T
New dwelling purchase by owner-occupiers,Adelaide,A3604238W
New dwelling purchase by owner-occupiers,Adelaide,A2329916W
Other housing,Adelaide,A3603588C
Maintenance and repair of the dwelling,Adelaide,A2328071L
Property rates and charges,Adelaide,A2329961J
Utilities,Adelaide,A2326496J
Water and sewerage,Adelaide,A2329871C
Electricity,Adelaide,A2328116F
Gas and other household fuels,Adelaide,A2331896R
"Furnishings, household equipment and services",Adelaide,A2326001V
Furniture and furnishings,Adelaide,A3604158W
Furniture,Adelaide,A2328161T
Carpets and other floor coverings,Adelaide,A3604198R
Household textiles,Adelaide,A3604078W
Household textiles,Adelaide,A3604118C
"Household appliances, utensils and tools",Adelaide,A2330006J
Major household appliances,Adelaide,A2328251W
Small electric household appliances,Adelaide,A2330996F
"Glassware, tableware and household utensils",Adelaide,A2331041J
Tools and equipment for house and garden,Adelaide,A2328296A
Non-durable household products,Adelaide,A2330051V
Cleaning and maintenance products,Adelaide,A2328341A
Personal care products,Adelaide,A2329196K
Other non-durable household products,Adelaide,A2330096X
Domestic and household services,Adelaide,A2330141X
Child care,Adelaide,A2331581W
Hairdressing and personal grooming services,Adelaide,A2329241K
Other household services,Adelaide,A2331671A
Health,Adelaide,A2331086L
"Medical products, appliances and equipment",Adelaide,A3603628K
Pharmaceutical products,Adelaide,A2329151F
Therapeutic appliances and equipment,Adelaide,A2329061A
"Medical, dental and hospital services",Adelaide,A3603668C
Medical and hospital services,Adelaide,A2329016R
Dental services,Adelaide,A2329106V
Transport,Adelaide,A2326046X
Private motoring,Adelaide,A2326631L
Motor vehicles,Adelaide,A2328566R
Spare parts and accessories for motor vehicles,Adelaide,A2328701V
Automotive fuel,Adelaide,A2328611R
Maintenance and repair of motor vehicles,Adelaide,A2328746X
Other services in respect of motor vehicles,Adelaide,A2328656V
Urban transport fares,Adelaide,A2326676T
Urban transport fares,Adelaide,A2328791K
Communication,Adelaide,A2331176T
Communication,Adelaide,A2326586L
Postal services,Adelaide,A2328476K
Telecommunication equipment and services,Adelaide,A2328521K
Recreation and culture,Adelaide,A2331221T
"Audio, visual and computing equipment and services",Adelaide,A3603828C
"Audio, visual and computing equipment",Adelaide,A2329286R
"Audio, visual and computing media and services",Adelaide,A3603708K
"Newspapers, books and stationery",Adelaide,A3603748C
Books,Adelaide,A2330186C
"Newspapers, magazines and stationery",Adelaide,A3603788W
Holiday travel and accommodation,Adelaide,A2326856A
Domestic holiday travel and accommodation,Adelaide,A2329331R
International holiday travel and accommodation,Adelaide,A2329376V
"Other recreation, sport and culture",Adelaide,A2331356A
"Equipment for sports, camping and open-air recreation",Adelaide,A2330321J
"Games, toys and hobbies",Adelaide,A2330366L
Pets and related products,Adelaide,A2328431F
Veterinary and other services for pets,Adelaide,A2328386F
Sports participation,Adelaide,A2330411L
"Other recreational, sporting and cultural services",Adelaide,A2330456T
Education,Adelaide,A2331401A
Education,Adelaide,A2329421V
Preschool and primary education,Adelaide,A2331446F
Secondary education,Adelaide,A2331491T
Tertiary education,Adelaide,A2331536K
Insurance and financial services,Adelaide,A2332571K
Insurance,Adelaide,A3602808A
Insurance,Adelaide,A3602853L
Financial services,Adelaide,A3604253V
Deposit and loan facilities (direct charges),Adelaide,A3603868W
Other financial services,Adelaide,A2332751V
All groups CPI,Adelaide,A2325821J
Tradables,Adelaide,A2330501T
Non-tradables,Adelaide,A2330546W
"All groups, goods component",Adelaide,A2330591J
"All groups, services component",Adelaide,A2330681L
All groups CPI including deposit and loan facilities (indirect charges),Adelaide,A3604333V
All groups CPI excluding Food and non-alcoholic beverages,Adelaide,A2332076A
All groups CPI excluding Alcohol and tobacco,Adelaide,A2332121A
All groups CPI excluding Clothing and footwear,Adelaide,A2332166F
All groups CPI excluding Housing,Adelaide,A2332211F
"All groups CPI excluding Furnishings, household equipment and services",Adelaide,A2332256K
All groups CPI excluding Health,Adelaide,A2332301K
All groups CPI excluding Transport,Adelaide,A2332346R
All groups CPI excluding Communication,Adelaide,A2332391A
All groups CPI excluding Recreation and culture,Adelaide,A2332436V
All groups CPI excluding Education,Adelaide,A2332481F
All groups CPI excluding Insurance and financial services,Adelaide,A2332616C
All groups CPI excluding Housing and Insurance and financial services,Adelaide,A2332661R
All groups CPI excluding Medical and hospital services,Adelaide,A2332526X
All groups CPI excluding food and energy,Adelaide,A3604293L
All groups CPI excluding 'volatile items',Adelaide,A2330816K
Food and non-alcoholic beverages,Perth,A2325871F
Bread and cereal products,Perth,A2326186A
Bread,Perth,A2327041F
Cakes and biscuits,Perth,A2327086K
Breakfast cereals,Perth,A2327131K
Other cereal products,Perth,A2327176R
Meat and seafoods,Perth,A2326231A
Beef and veal,Perth,A2327221R
Pork,Perth,A3603923A
Lamb and goat,Perth,A2327266V
Poultry,Perth,A2327356X
Other meats,Perth,A2327446C
Fish and other seafood,Perth,A2327491R
Dairy and related products,Perth,A2326141W
Milk,Perth,A2326906L
Cheese,Perth,A2326951X
Ice cream and other dairy products,Perth,A2326996C
Fruit and vegetables,Perth,A2330866J
Fruit,Perth,A2330911J
Vegetables,Perth,A2330956L
Food products n.e.c.,Perth,A3603963V
Eggs,Perth,A2327626L
"Jams, honey and spreads",Perth,A2327671X
Food additives and condiments,Perth,A2329471T
Oils and fats,Perth,A2329516K
Snacks and confectionery,Perth,A2331721L
Other food products n.e.c.,Perth,A2327761C
Non-alcoholic beverages,Perth,A3604003C
"Coffee, tea and cocoa",Perth,A2327716T
"Waters, soft drinks and juices",Perth,A2331766T
Meals out and take away foods,Perth,A2326276F
Restaurant meals,Perth,A2327536J
Take away and fast foods,Perth,A2327581V
Alcohol and tobacco,Perth,A2326096W
Alcoholic beverages,Perth,A2326726C
Spirits,Perth,A2328931A
Wine,Perth,A2328886A
Beer,Perth,A2328841W
Tobacco,Perth,A2326771R
Tobacco,Perth,A2328976F
Clothing and footwear,Perth,A2325916X
Garments,Perth,A3604043W
Garments for men,Perth,A2329561W
Garments for women,Perth,A2329696F
Garments for infants and children,Perth,A2329741F
Footwear,Perth,A2326366K
Footwear for men,Perth,A2327896L
Footwear for women,Perth,A2327941L
Footwear for infants and children,Perth,A2327986T
Accessories and clothing services,Perth,A2329786K
